iter	Logloss
260	0.3150883632
261	0.3145817805
262	0.3143686238
263	0.3140159932
264	0.3133739561
265	0.3130502699
266	0.3126929818
267	0.3122996273
268	0.3119356137
269	0.3116997948
270	0.3112942952
271	0.3102053037
272	0.3098755903
273	0.3094466485
274	0.3092435184
275	0.3087206313
276	0.3081693541
277	0.3077667734
278	0.3074844746
279	0.3069214107
280	0.3063190726
281	0.3057671016
282	0.3051969168
283	0.304624467
284	0.3039120062
285	0.3032445907
286	0.3025979487
287	0.3019144057
288	0.3014186162
289	0.3009935998
290	0.3004466206
291	0.2999017268
292	0.2992370903
293	0.2987165582
294	0.2982004872
295	0.2976178106
296	0.2972840719
297	0.2968208941
298	0.2961965437
299	0.2952848186
300	0.2950439293
301	0.294808217
302	0.2944063468
303	0.2940736114
304	0.2934709627
305	0.2928653584
306	0.2921569885
307	0.2916154153
308	0.2913337214
309	0.2910454724
310	0.2906819988
311	0.2904814965
312	0.2899901234
313	0.2896686471
314	0.2891918517
315	0.2888466449
316	0.2882905003
317	0.2877956922
318	0.2871932142
319	0.28697878
320	0.286362416
321	0.2855658546
322	0.2853015661
323	0.2849091139
324	0.2844142381
325	0.2839966714
326	0.2833419233
327	0.2831396085
328	0.2827186295
329	0.2822844683
330	0.2819975105
331	0.2815923149
332	0.2807007189
333	0.2801666019
334	0.2797269475
335	0.2795502052
336	0.2792100942
337	0.2787630599
338	0.2784681749
339	0.2780487165
340	0.2774999826
341	0.2769580271
342	0.2766328982
343	0.2762022954
344	0.2756719853
345	0.2753236951
346	0.2747901629
347	0.2745929804
348	0.2740618254
349	0.273697307
350	0.2730437229
351	0.2724328445
352	0.2721864943
353	0.2720331902
354	0.2717675141
355	0.2713940883
356	0.2712129311
357	0.2707158713
358	0.2704617668
359	0.2702369797
360	0.2696795368
361	0.2691615455
362	0.2688829283
363	0.2686995221
364	0.2682098628
365	0.2678568038
366	0.2676925413
367	0.2669424954
368	0.2665939741
369	0.2660348297
370	0.2651908809
371	0.2650229829
372	0.2648370101
373	0.2643380908
374	0.2639873667
375	0.263543413
376	0.2632334377
377	0.2628596703
378	0.2625328786
379	0.2623983925
380	0.2622578528
381	0.2620567238
382	0.2616696654
383	0.2613593639
384	0.2607393897
385	0.2605234862
386	0.2602144242
387	0.2599934768
388	0.2596661228
389	0.2591646953
390	0.2588045395
391	0.2585149091
392	0.2582227361
393	0.2577560333
394	0.2574934474
395	0.2570952496
396	0.2567870254
397	0.2561542848
398	0.2557094051
399	0.2554501595
400	0.2551441306
401	0.2547776409
402	0.2542924118
403	0.2538083863
404	0.2533680674
405	0.253097089
406	0.2528404982
407	0.2526892998
408	0.252397708
409	0.2523205565
410	0.252057615
411	0.2517500606
412	0.251664525
413	0.2515024961
414	0.2511789019
415	0.2510274837
416	0.2506546194
417	0.2505069356
418	0.2503232395
419	0.2500692062
420	0.2497873654
421	0.2492816461
422	0.2490574257
423	0.2485346807
424	0.2483799096
425	0.2482540969
426	0.2479054555
427	0.2476785565
428	0.2475856177
429	0.2472131328
430	0.2464075143
431	0.2461042856
432	0.2458375705
433	0.2457446779
434	0.245301552
435	0.2450339452
436	0.2446643626
437	0.2442340548
438	0.2440368826
439	0.2435608553
440	0.243244859
441	0.2429882625
442	0.2427379918
443	0.242528043
444	0.2423482068
445	0.2422224795
446	0.2420263339
447	0.2416520432
448	0.2414235441
449	0.24124609
450	0.2404198017
451	0.2399860146
452	0.2395974169
453	0.2393285975
454	0.2388646174
455	0.2384497244
456	0.2381386819
457	0.2378492072
458	0.2376649762
459	0.2372062502
460	0.2368086846
461	0.2363771539
462	0.2361279651
463	0.2354948217
464	0.2350141296
465	0.2347142898
466	0.2344626635
467	0.2342971517
468	0.2341792932
469	0.2340260554
470	0.2338900263
471	0.2334845299
472	0.2330153139
473	0.2326887868
474	0.2325728898
475	0.2325323373
476	0.2322932273
477	0.2318843089
478	0.2315198492
479	0.2311601775
480	0.2309605926
481	0.2308108557
482	0.2305997953
483	0.2304509852
484	0.2302939414
485	0.2297456068
486	0.2293170456
487	0.2289989029
488	0.228801759
489	0.2286479032
490	0.2283178689
491	0.2280363204
492	0.2278803023
493	0.2275101682
494	0.2269789199
495	0.2266296886
496	0.2262770088
497	0.2258193257
498	0.2254976358
499	0.2252046676
500	0.2250498838
501	0.2246390454
502	0.2244195023
503	0.2242953421
504	0.2238014695
505	0.2237665685
506	0.2236379554
507	0.2234738549
508	0.223319212
509	0.2231131565
510	0.2228831099
511	0.2228166806
512	0.2223376128
513	0.222000622
514	0.2217442513
515	0.2216792346
516	0.2215898023
517	0.2214759705
518	0.2214207993
519	0.2208432848
520	0.2203443427
521	0.2200518597
522	0.2198439976
523	0.219648525
524	0.2195527175
525	0.2190060638
526	0.2188666049
527	0.2183779946
528	0.2180748395
529	0.2178512298
530	0.2174761162
531	0.2171855128
532	0.2169660693
533	0.2167767718
534	0.2166608666
535	0.2163687094
536	0.2161758051
537	0.2158645457
538	0.2156836157
539	0.2153817455
540	0.2151175289
541	0.215001563
542	0.2147512709
543	0.2145030134
544	0.2144423544
545	0.2140667475
546	0.2138801514
547	0.2136303723
548	0.213330317
549	0.2130737544
550	0.2128732465
551	0.2122257191
552	0.2118471299
553	0.211635186
554	0.2114058382
555	0.2106381678
556	0.2105817828
557	0.209899227
558	0.2092287675
559	0.2089915007
560	0.2086090612
561	0.2079026265
562	0.2077713187
563	0.2075776451
564	0.207208845
565	0.2069477911
566	0.2067569504
567	0.2065030536
568	0.2064223212
569	0.2060854369
570	0.2059878459
571	0.205723963
572	0.2056499342
573	0.2051625605
574	0.2051247896
575	0.2048441639
576	0.2045656064
577	0.2042145369
578	0.2041428317
579	0.2041083071
580	0.2038736812
581	0.2034274652
582	0.2032220737
583	0.2030371401
584	0.2028000992
585	0.2025034959
586	0.2022463447
587	0.201911727
588	0.2015619793
589	0.2013559435
590	0.2008148836
591	0.2006601419
592	0.2004495525
593	0.2003088994
594	0.2000839583
595	0.199479329
596	0.1993829928
597	0.1992921429
598	0.1991587893
599	0.1989290622
600	0.1987292169
601	0.1986348631
602	0.1984140194
603	0.1982167513
604	0.1978664997
605	0.1977029214
606	0.1976227333
607	0.1974560724
608	0.1972754119
609	0.1970533949
610	0.1969674775
611	0.196643384
612	0.1963731814
613	0.1962730312
614	0.1960485137
615	0.1960134832
616	0.1959153649
617	0.1958704648
618	0.1956921304
619	0.195344555
620	0.1950701606
621	0.1949673204
622	0.1946720103
623	0.1944004178
624	0.1942999716
625	0.1941651939
626	0.1941024251
627	0.1940652278
628	0.1938442367
629	0.1934378272
630	0.1933444812
631	0.1930612765
632	0.1928799547
633	0.1926524163
634	0.1923038632
635	0.1919960405
636	0.1917372594
637	0.1916247451
638	0.1915433015
639	0.1911832763
640	0.1911189765
641	0.1908157592
642	0.1907518299
643	0.1903806838
644	0.1902429753
645	0.1901978602
646	0.1896372319
647	0.1894990598
648	0.1893434624
649	0.1892009657
650	0.1890696099
651	0.1889587366
652	0.1885947911
653	0.188521021
654	0.1882524262
655	0.1879785504
656	0.1879200327
657	0.1876497026
658	0.1876150884
659	0.1874087572
660	0.1872521895
661	0.1870869975
662	0.1868156868
663	0.1862991984
664	0.1861833034
665	0.1860647354
666	0.1860177937
667	0.1859352964
668	0.1856914516
669	0.1854462899
670	0.1849031379
671	0.1845966888
672	0.1842253698
673	0.1840312817
674	0.1839200161
675	0.1837792015
676	0.1836074331
677	0.1834824859
678	0.1832571631
679	0.1832048023
680	0.182959735
681	0.182805803
682	0.1825664426
683	0.1824793512
684	0.1824133639
685	0.1821354938
686	0.1820726156
687	0.181891977
688	0.1815472509
689	0.1812750669
690	0.1809548597
691	0.1807738476
692	0.1803332665
693	0.1801049365
694	0.1797826908
695	0.1795007155
696	0.1792446792
697	0.1789947437
698	0.1788293854
699	0.1786853837
700	0.1786094938
701	0.1784122325
702	0.1783839117
703	0.178087326
704	0.1777875723
705	0.177607633
706	0.1774044099
707	0.1772047604
708	0.1768065391
709	0.1766995395
710	0.1765485299
711	0.1761626864
712	0.1760219606
713	0.1756477637
714	0.1754524005
715	0.1751423503
716	0.1750767583
717	0.1749911105
718	0.1747696109
719	0.174575508
720	0.1744933693
721	0.1741995099
722	0.1741050608
723	0.1738145245
724	0.1735817822
725	0.1735432544
726	0.1734082002
727	0.1732274346
728	0.1730450066
